speaker,speech
A,Hello
B,Hi
A,Ya
B,Oh hi
B,How are you
A,Fine
B,Oh so what are you doing
A,I was marking my papers
B,Oh
A,My Literature papers
B,Ah hah
A,Ya
B,Oh
A,Just took a break lah
A,Just now so have to go back to my work
B,How many classes do you have to mark
A,Three
B,Aw
B,This is not so bad
A,Ya
B,<unclear> word </unclear>
A,Next week Monday
B,Oh next week
A,Ya
A,So uhm Monday is okay because I I don't have any papers
A,Tuesday my paper start coming in
B,Ah hah
A,Then I don't get any till next Monday
A,You know so stupid the way they planned it
A,So I have all my papers next Mon the following Monday and it is like five sets of Literature and two sets of Moral Education
B,Ah hah
A,So I I have so much to mark on that you know during that week
A,Terrible
B,Oh
A,Ya I am not looking forward to it
A,Sorry
A,Anyway this whole week you know I will be so free
B,Oh
A,You know what I mean because I would have marked because the paper I am going to get on Tuesday is not too difficult to mark
B,Who does the scheduling
A,The head of department HOD lah
B,Ah okay
A,Ya but I I don't know I see if I can't cope might <unclear> word </unclear> tell her and then maybe second next term they can uhm do something about it lah
A,Ya
B,Well guess what I am looking at at the moment
A,Uh Ashley
B,Yes he fell down on a couch
A,Uhm
B,Bas Bask in the uh in the warmth of the house
A,Uh hah
B,Tell you this chap is something else
B,He is so naughty
A,Uhm uhm
A,Why
B,He refuses to take his medicine
B,He is having fever
A,Uhm
B,We brought him to Dr Lim on Monday
A,Uhm uhm
B,That well because of two reasons
B,He slept the whole day on my mother's bed
B,Oh well he found a new place to sleep and then not only that in the evening when Sandy was eating don't know what he did he went near Sandy
B,Of course you know it irritated Sandy and Sandy snapped at him and he had a deep gnash-like thing in the nose
A,Oh
B,So my parents had to bring him to Dr Lim
A,Uhm
B,I find him better now when
A,Was there blood or anything
B,Ya there was
A,Oh
B,He has recovered from his fever
B,He's not eating as well though
A,Uhm uhm
B,We are just hoping that he is going to become better because the doctor has also given him tablets which you know increases appetite
A,Uhm
B,So when hopefully he is going to eat more and become and strong cat
A,Uhm
B,He is sneezing at the moment and it's so funny
B,You know he behaves just like a human being the way he looks at you
A,Really
B,The way he jumps off the table and and you know he walks upstairs
A,Uhm
B,And he sleeps on the bed
A,Uhm uhm
B,I mean it is uh the and the people at SPCA came
B,It seems they came yesterday and they wanted to see it uh Ashley
A,Oh
B,And my father said oh he is he's not feeling well and he is upstairs sleeping on the bed
B,So the the officers said Oh very lucky cat sleeping on the bed <unclear> word </unclear>
B,He is jolly good
B,That is all he want to check
A,Oh they want to see whether you are taking care of it
B,Ya
A,Oh
B,And it is funny because they didn't check on on uhm Sandy
A,Because pariah <unclear> word </unclear> cat what
B,Uh
A,Sandy
B,Sandy
A,Which one is Sandy
B,Uh Pat and Daryl's dog
A,Oh I see
B,They didn't check on him
A,Uh really
A,They also got it from SPCA
B,Yes and they are checking on Ashley
A,Oh because it is pedi pedigree is it
A,Patrich <unclear> word </unclear> Pedigree cat
B,Yes and no I don't think they make uh you know I don't think they make a differentiation but I think it was I think it's something which they just like they take a hand
A,Random lah
B,Ya
A,Random check
B,<unclear> word </unclear> pick on you know uh they just want to check on on the new you know adopted
A,Uhm perhaps uh
B,Ya
A,Jolly good sleeping on the bed
B,<unclear> word </unclear> sleeping <unclear> word </unclear> upstairs
B,Would you like to <unclear> word </unclear> on my wife's bed
