speaker,speech
A,Peck Chuan uh
B,Ya
A,So what's your comment about tomorrow's meeting
B,Tomorrow ah
B,Ah tomorrow we're having our staff meeting and I hope Dr Teo can uh let us know our future direction clearer
B,Because uhm I think we're thinking of moving into a lot of new areas but uhm we must have a clear direction and clear commitment from the management
B,Otherwise is a bit difficult for people like us at the bottom
A,So uhm is is the restructuring of the organisation affecting you anyway
B,Uhm ya talking about this restructuring
B,Actually I haven't gone through the the the whole structure what's it's going to be like
B,Because this morning I don't have time to read the thing and the last meeting I wasn't there
B,But from what I know is for our team uhm we won't be affected that much because you know next time when our our side merge with your your team
A,Ya
B,We're going to merge right
A,In July
B,Uhm and then I think some for our side our people uh will be mainly doing the the back back end work uh whereas talking to users would be more from your your side and I I <unclear> word </unclear>
A,You mean that kind of thing including the three major departments
B,Which three
A,Like Bursar's and so on
B,Ya ya ya
A,We'll be the frontline
B,Ya
A,For all all the <unclear> word </unclear>
B,I I I'm not so sure exactly how they're going to uh divide the work lah but from what I know it's uhm uhm people like Diane myself Shuefen
B,They all will be doing development work and then when users have problem they won't call us directly they will call I don't know who from your side would be but I think you're one of them uhm when the printer got problem they call you
A,You mean you mean normal problem
A,What I'm referring to is those uhm as I said uh the accounting system you know
B,Ya so if if there is any of uh any problems that belongs to say say a particular application ah they will still go to the frontline people and if those people cannot solve it then they will channel back to the back up people
A,Oh I see
B,So because uh if say right now uh if the user say our user the account user they they printer got problem they will still call us you know
A,Uhm uhm uhm
B,But next time this one should be solved by the <unclear> word </unclear>
A,What you mean is that uhm we'll sort of act as a buffer
B,Uh the interface uh
A,Solve the the minor minor problems we'll solve
A,But when it comes to a more the more specialised programmes we'll look you'll look into that
B,Ya I think for you guys uh I think you'll still be involved in some development work lah
B,But I think most of the time you're attending to user
A,I hope not because it's supposed to be twenty twenty per cent the most
B,Ha
A,Am I right
A,And uh I think we'll be also involved development work
B,Ah
A,For me is uh postgrad schools ya and that's already a lot of maintenance actually
B,You expect to get other project
A,Ya ya
A,In fact at the moment only one school is is having the the system running so there there are three more actually
A,Don't know when the
B,<unclear> word </unclear>
A,hopefully new
B,The S Q L D S thing that you're working on
A,Ha
A,What S Q L D S
B,I thought I thought I thought you have to do some S Q L work
A,Uhm you mean oh assessing to the database is it
B,Ah
A,Of course that is that's where all the records are stored
B,All these while you're working on this system lah
A,Yes yes but of course the system sort of like retrieve and manipulates the data in the database
A,By the way uh Weiying is supposed to back me up
B,Who
A,Weiying from your group
B,Weiyan uh
A,Ah Weiyan ya suppose to
A,She's suppose to uhm back me up
B,In this system uh
A,Ya which is a surprise to me
B,Since when
A,Ha
A,I mean it's going to start in July or so
B,Oh oh
A,So she's going to be my back up for this thing
B,Oh you're the main one
A,That's why I was wondering is is that what's considered as merging you know between the two groups that you know backing up each other that kind of thing
B,Funny thing her system
A,And I won't think of it as a front line
B,Her her her system of taking over then she go and assist
A,It's just like physically uh changing office now
A,Job wise also change
B,Because actually uh you know I'm also working on this exam mark entry system right
B,Actually this one is done by done by a staff quite sometime ago lah and then a William took over and now I was ask to look into it further and
A,Further you mean enhancement
B,Ya maybe got to rewrite the whole thing lah
A,Why
B,Because ah because we're facing a lot of problems
B,We our there are a lot of departments using it and then they're all over the campus
B,And then one once they call up complain that there's a problem
B,We can't solve it on the spot we have to go down so it takes a lot of our time
B,So we're trying to find out ways to cut down on all this travelling
A,Uhm uhm that means more or less cut down on maintenance lah
B,Ya ya especially ya this thing is only used during exam time lah so
A,Once
