speaker,speech
A,So what are you going to do at Takashimaya afterwards
B,I don't know
B,Actually there's nothing right
B,There's nothing much to do there right I mean
A,Yah unless you are buying something
B,Buying so expensive
A,Well I mean you don't have to work
A,You don't have buy at Studio lah I suppose
B,Yah yah But anyway I think Studio hah they don't open on Sunday
A,But today is not Sunday what
B,Yah lah yah lah I mean they don't open on Sundays
B,Do they follow the Tangs one
A,Oh yah ah yah yah yah
A,Probably they do lah
A,Once they had this interview you know with uh the old C K Tang ah not his son or what
B,Is it
A,And then they were asking him why why is it their store does not open on Sunday you know
A,Because they were the reporter was quite curious because Sunday is the day where most of the stores make their money you see
A,Saturdays and Sundays weekdays much less so ah
A,Then the man the man just said well after a certain point you just have to say you just have to know when to stop lah
B,You mean stop earning money ah
A,In the sense that not money is not everything you see
B,Yah right
A,To him lah
B,And I heard he is a very devout Christian and uh he follows the Sabbath
A,Ya lah ya lah that is why lah
A,Because I probably they were thinking like aiyah we have so many millions already you know what is another couple of millions
A,I know they some of the Tang clan or what family or what they attend this church at uh Queenstown
B,Is it
A,Yah it is called Church of our Saviour and I know that one of the weekly bible studies right
A,It is held in the Tang's boardroom
B,It is held at
A,Tang boardroom
B,Tang boardroom
B,Really ah
A,Yah I told you right
B,Yah lor yah lor
B,Anyway are they a big family
B,They control the whole
A,Empire
A,They own Tangs Studio and I think I am not sure lah this one
A,I think Dynasty Hotel
B,No I mean the management is it like
A,No the own it
B,Yah but that means the top-level management
A,Yah lah yah lah yah lah
B,is occupied by the their own relatives or what
A,Yah lah
A,The son lah I suppose
A,The old sons of C K Tang
B,They used to have small neighbourhood shops down at Macpherson
A,Ah hah
B,Uhm one at I think at Katong and uh yah one at Macpherson and one at Katong
A,Ah hah
B,because uh my grandpa used to like buy liquor from them
B,They sell liquor you know
B,One of the one of the accountant <unclear> word </unclear> yah the old whisky type and then they sell the very old type the the one with the old Chinese uhm god you know that guy with the bald head you know
A,But anyway anyway I think of all the local stores ah I mean the department stores they are one of the ones who are doing better lah
A,Like you see Metro keeps closing you know right
B,They they I think they stocked quite intelligently because they does they they don't just like
B,Anyway anyway all shopping centres look alike
A,Yah lah
B,but they all there are very strange and interesting items you see
A,Like like Studio Tangs lah
B,Yah yah
A,This niche marketing lah
B,Yah for the young one
B,Yah like the Tangs is reserved for
A,quite high class one
B,And more general audience yah
A,Aye even Tangs is quite high class one you know
B,Yah lah yah lah
A,all those stuff
A,Not cheap at all
A,But then I think it would be hard work man
B,Yah
A,But then but then if you notice most of the department stores in Singapore are Japanese you know
A,It is their fad correct
A,You see Yaohan one Isetan two Tokyu three Daimaru four Takashimaya five Sogo six
A,It is their third retail
B,<unclear> word </unclear>
A,Ah it is practically new form of Japanese imperialism
A,The only the only non-Japanese ones are Galeries Tangs
A,That is all what
B,Galeries Tangs
A,Robinsons ah Robinsons
B,Metro
A,Metro John Littles
B,Yah
A,That is all
A,Mostly Japanese
A,More than half uh
B,Some more Japanese are more aggressive
B,They upgrade very fast
A,Like you know uhm
B,keep upgrading
A,You know why
A,Because they have so many in Japan right
A,That that one here uh that one here right can draw from the Japanese resources you see while Tangs only has one shop here
B,Yah lah yah lah
A,You know what I mean
B,Yah
A,There is a difference uh
A,Wah here damn sleepy man
B,Yah all the food uh
A,Yah I need to walk it off uh
B,Actually I am supposed to go swimming today
A,Today ah
B,Yah actually I thought of after the food uh maybe lah
B,Anyway I like to go swimming around this time not too hot you see and the pool is emptier
B,I went yesterday
A,Ah hah
B,There is only three person in the pool
A,Is it
B,Yah Toa Payoh pool
B,And they have new tiling everything because of the SEA games
A,Yah
B,And the shower is very good
B,It is not like those too powerful or too weak but
A,Too powerful never mind
A,It is too weak
A,It is the problem
B,You know the one in uh S R C
B,It can blast your skin off you know
A,Really ah
B,Serious
B,Nobody that time me and Alvin we went right
B,So we stood under the shower
