speaker,speech
A,They were giving excuses
A,They were saying Oh you know if we don't frequent this place and then she she won't have a job
A,She she won't be able to earn money and then uh she she has to feed her brothers and sisters right
B,Uhm uhm
A,And uhm as a result of us ah
B,Uhm
A,You know us visiting her she she can she can earn lots of money
A,Her hers her brothers and sisters can have uh an education and find a job and all that
A,Remember
A,That scene in the night club
B,Oh very noisy scene right
A,Yes
B,Can't really hear very clearly you know
B,<unclear> word </unclear> was very muffled
A,And then the other scene
A,That was very awful was when when he when he uhm when the guys grabbed the girls
B,Oh at the bar
A,at the counter yes when they were eating
B,in daylight right
B,They grabbed
A,Yeah
B,Ya quite gross uh
A,Wasn't that awful
B,Very awful and hit <unclear> word </unclear> all those sexuals <unclear> word </unclear> right
B,Oh very cheap very crude
A,But I didn't really see what was going on
A,I couldn't understand
B,Very crude you know
B,<unclear> word </unclear> 's very crude
B,He really seems so crude the most crude RA parts uh
B,Really
B,So crude
A,Oh it was RA uh
B,It was RA
A,So what are you doing this weekend <O> laughs </O>
A,What are you doing this weekend
B,Oh playing squash
A,Oh oh ya
B,Go to church go and fly kite
A,Which church are you going with to
B,Thomas's church uh
A,Thomas uh
A,I thought you hated it
B,I didn't hate it what
B,Don't know maybe I'll go swimming next week
A,I shall go swimming too
B,Aiyah
A,Relax
B,Ya hor xiao de
B,Laugh you're very funny
B,Of course
A,Well
B,'A' what what uhm shows are you going to see for Arts Fes
B,Are you seeing the African one
A,Which one
B,Sic <unclear> word </unclear>
A,CEP <unclear> word </unclear>
B,Cepic <unclear> word </unclear>
A,CEBkowa <unclear> word </unclear>
B,Ya
A,Ya I'm going for one
B,The TET or where <unclear> word </unclear>
A,I can't remember
A,I think it's the DET
B,DET is at Jo Jo hall you know
A,And then I'm going to see Oh is it
B,Ya
A,And then I'm going to watch Macbeth Minangkawa
B,Oh
A,And I'm going to watch what else
A,The Polish Nightingale London's City Ballet
B,Oh
A,which is on on Midsummer Night's Dream
B,That's nice you know
A,And Private Parts
B,Aiyah the G business again
A,And what else am I watching
A,What are you watching
B,Watching Cases Unfilled Lord of the Rain and Xing Yao show
A,Oh I'm watching the Mermaids <unclear> word </unclear> and I'm watching uhm
B,Theatre Dynastic
A,Yes that's right
B,Oh sold out you know
A,Ya and and and the lady Mamboza or something Mambaza
B,What
A,That one
B,French also
B,Oh <unclear> word </unclear>
A,No it's a the theatrical group that sang with Paul Simon
B,Oh
B,So many
A,Ya
A,I guess I'm going with your sister lah to some of them
A,Then I'm going to help out Front of Front of House at her play
B,What what what
A,Front of House
B,What is oh new play
A,No I I mean just help them with selling the tickets and ushering
B,Where are they putting it up
A,Uh it's on the first of June
A,It's Arts Fringe TNS
B,TNS
B,What's TNS
A,Necessary Stage
B,Oh
B,Where are they putting it up
A,Where uh
A,The TH will be at the Substation cos' I'm going for a meeting on Monday at Substation
B,Uhm
A,Hope to be there
A,Audrey is helping out too
B,Audrey is quite active
A,She is She's going to do her magazine
B,Uhm
A,So <unclear> word </unclear> helping out and then guess who I saw yesterday
A,Teng Teng
A,You know Teng Teng
B,Teng Teng
B,Ya <unclear> word </unclear>
A,I met her I met her in the canteen yesterday
A,She just came back from her
B,Helping Mui Sic <unclear> word </unclear> right
A,Ya she's helping Mui Sic but not yet
A,She's just come back from Indonesia from her Dick
A,She's crazy lah
A,Well this is one girl who doesn't work for money you know
B,Know
A,She's she can do this for one year
A,Freelancing <unclear> word </unclear>
A,Ya so how
A,She's crazy she lost so much weight
B,She's already thin enough
A,She was wearing this top from Bangkok from Thailand from Bangkok Chiangmai and her pants also
A,So rugged you know with all the pockets on her thighs
B,Is she very dark
A,Huh
B,Is she very dark <unclear> word </unclear>
A,She's not very dark lah but she knows she's very rugged
B,Ya she is telling her <unclear> word </unclear> be
A,So when is when is Joyce supposed to meet you
B,Hours ago
A,Hours ago
B,Ya I wonder whether she's in the library or not
B,Maybe I should give her a call
A,What's she doing with your computer now Is she writing anything
A,Has she finished her story
B,She has sort of finished but she hasn't revised it
B,So she has stored it in that diskette
A,And she oh and the diskette
B,She what
B,She what
B,No because she needed memory for her printer you see
B,So she wiped off what's in the hard disk and stored inside the diskette
A,Oh
B,And then the printer needs more memory space now
B,So I don't know what she's going to do
A,Oh so the printer
B,takes up some memory space you see
A,So why doesn't she get a printer that doesn't take up so much space
B,I think basically printers do
A,Oh so it was no good to use a lap to buy a laptop right
B,I think a laptop is not powerful enough
B,When she needs an interface I don't know what an interface is
A,Oh an interface I think it bridges two different systems is it
B,Something like that lah
B,Provides a bridge or something like that I don't know
B,Her laptop is what powerbook hundred
B,Don't know
B,Haven't seen the laptop yet
A,So are you going out with Thomas
B,What do you say
A,Are you going out with Thomas this weekend
B,No not not this weekend
A,Oh but you're going to fly kites <unclear> word </unclear>
B,Ya only on Sunday
A,Where
B,Marina South
A,I've been there
B,For half an hour
A,Do you wait <unclear> word </unclear> there
A,I flew I flew kites there
A,Not for half an hour for quite some time you know and there are all these people with kids
B,Oh
A,Put all the kids there and then the <unclear> word </unclear>
B,Nowadays the string is not the glass sort right
B,It's the normal string only
A,It's just that kind of embroidery thread
B,Last time it used to be glass sort then they cut the kite
A,Is is it
B,Ya that used to be more fun
A,But your kite still can get cut uhm you know The the string
