speaker,speech
X,
A,Feel like counting used to the great Price Waterhouse
C,So how was your trip up Malaysia
B,Okay lah
C,Okay
A,Fives you want them
D,Oh ya
C,Ten dollars three dollars
A,Uhm this ones
D,Oh that ones
D,uh tomorrow they will that one's for cheque
A,Oh
C,How is the
D,Chia Soo Lan
C,No not
C,Chia Soo Lan the doctor is on the panel of
D,Ya it's still with me
D,We're still sitting on It
D,Waiting for the CDC to move
C,Okay okay
C,So I leave that to you to come up with
D,Ah I think we'll probably just allow them to see any doctor
A,Ya okay
D,I mean to have them to have this panel of doctors
C,Yeah
D,No logic lah
D,*laughter*
C,Yah any doctor and bring the
D,The medical cert lah
C,Cert ya
C,And the bill of course
C,Probably imburse them
D,See any doctor after a certain amount for the year
D,You know something like that
D,If they don't go and see the <unclear> word </unclear> enough
C,To <unclear> word </unclear> the medicines
C,I was having a look at the
D,<unclear> word </unclear>
C,No no no
D,Even though the consultations uh free
C,Yah but
D,Subsidised at five dollars
C,Too much for
D,Probably save quite a lot if you open it up to any doctor
D,*whistles*
D,*laughs*
C,So Chu Keong how was uh
C,Oh cannot
A,Why why
D,Why
D,Oh he's not supposed to talk
C,Okay well Brenda how was your trip
C,*laughs*
A,Malaysians
D,Forgot what that was
D,Lucky I didn't say anything about that fellow
D,*laughs*
C,You are outstation
A,Why
C,Uh Christmas
A,Ah why
C,Were you in Singapore
A,Oh ya ya ya
A,I only went before
A,Went to Phuket
C,Where
C,Kuching
A,Where
A,Phuket
C,Phuket
C,Was it wet over there
A,Nah
A,It's nice
A,Hot and sunny
C,Yesterday's rain was terrible
A,Ya Ya Ya
D,Is Mary's leave uh finished or
C,No
C,She has taken nineteen and she's uh all leave it till she probably quit
D,She's serious about it
C,Ya
A,She wants to quit
C,I'm serious about it
D,Oh you are
D,*laughs*
C,No it's not worth the stress
D,Ya
A,So what is she going to do
A,Stay at home
C,That's up to her to decide
C,I told her to take a long rest
D,Better volunteer yourself your church service
C,But the first day she's started
A,Yah
D,But she's submitted the letter in another words
C,No not yet
A,Interested in counselling training
C,One two three four five six seven eight nine ten
A,She she was saying that she wants to go to Open University
C,Yah
D,She already got this uh got this uh attending this course to uh to take law
C,Three four five six seven eight nine ten
C,Two three four five six seven eight
A,Alright
A,Pursuing a law course
A,Personal coaching there ah
A,*laughs*
A,
A,Mine is all practical
D,<unclear> word </unclear>
C,Yah
C,Ten percent of what you learn in the university is applicable
C,That is only for law
C,But medicine is a different thing altogether
D,'Cos that's a skill
C,Yah
C,What you learn is what you practice
C,Law is entirely different
C,But uh
D,Wonder if Suzanne has switched
C,Yah
A,Talking to her
C,Su Lian has gone to Russia
D,<unclear> word </unclear>
C,And in anticipation of her arrival
C,Boris Yelt Gorbachev stepped down
A,I can handle
C,The problems of Russia but not Su Lian
A,The <unclear> word </unclear> of NUS but I I I can't handle Su Lian
A,Let Yeltsin do away deal with her
C,Probably she
A,Probably walks in there and says why must we be like that
A,Why must you drive on the right hand left hand side of the road
C,Malaysian currency is put
D,Yah put that side
A,When'll she be back
C,She should be on the food
A,Oh I see I'm sorry
A,Mary Mary will be broke
D,When is Mary coming
C,On the way
C,Yes Merry Christmas that day
C,Didn't have the chance to greet you that day
C,You were at Wesley Hall right
E,Bye bye bye bye
A,Shouldn't tell him
E,Hey no no no
E,what's that
D,So it shows he doesn't
D,*laughs*
A,Why did you become
C,<{> <[> the chief advisor </[>
A,<[> the chief advisor </[> </{>
C,A How come they covered the
D,because of this morning
D,Because the children nah and then sometime <unclear> word </unclear>
C,<unclear> word </unclear> schools
D,Because of theirs HPs
A,The <unclear> word </unclear> one ah
D,Yah he's very particular about
C,HP
D,HP You don't know our HP ah
A,Hewlett Packard
D,He was our church Hewlett Packard
C,Who
D,You don't know ah
A,Who really give high quality functional machinery
D,HP think HP
D,Who is HP in our staff
D,Think
A,Don't don't think lateral
A,Think think simply
C,<unclear> word </unclear>
A,He's trying to think of characteristics
C,One of the church staff
D,Uh one of the Pastoral Team members
C,Harriot
A,Ah
C,Harriot
A,Harriot <unclear> word </unclear>
C,Yah two three seventy three
D,Six three ah
A,Yep sixty three cancel
C,One dollars thirty five and this is one Malaysian note not counted
A,Fives thirty five here
D,Coin
A,Thirty five
D,Thirty five
