speaker,speech
X,
A,Good morning Mr Bek
A,I'm glad that you are able to make it
A,Have a seat Mr Bek
A,You said that you were recommended by Teo
B,Yes
B,My friend Teo was impressed by your ability to market his house at such a good price as well and also so quickly too
B,When he knew that I wish to sell my house he quickly called me to contact you
A,That's nice of him
A,Thank you
A,I would be most glad to help you market your house
A,So I believe that you are looking for a house
B,Oh yes I need you to get one for me
B,Okay
B,Let me tell you more of my house
B,The house I am staying now is a 5 I unit in Tampines
B,It's just passed five years
B,I bought it for one hundred and twenty-three thousand dollars
B,I wish to downgrade to a 4A or 4I unit in Tampines
B,Can you please give me some advice so as to what I should do etc
A,Sure
A,Basically the guidelines towards purchasing a resale flat in the open market is quite simple
A,Since you have a house it is easier at least on your finance
A,Before you get a loan from HDB they would want to use up all your CPF funds in the ordinary account before they lend to you
A,So we have to check whether you have the sufficient twenty percent deposit required when you purchased the house as well as your income to determine the amount of loan available allowable for you
A,Oh
A,Is your wife going to be the co-owner that is she is sharing in the payment of the house
B,Yes my wife will be my co-owner and will be sharing in paying for the house
B,We have a combined CPF of about eighty thousand dollars in our ordinary account
A,Okay
A,A 4a or 4I would fetch about two hundred and fifty thousand to two hundred and eighty thousand depending on the location the level whether it is at lift landing or not is it facing western/eastern sun etc
A,Quite a number of factors will be involved in the pricing of the flat
A,Not forgetting the renovation done to the house
A,So your eighty thousand dollars would easily cover the deposit of between fifty thousand to sixty thousand and also the stamp fees etc
A,How much are both of you earning now
B,As for myself my gross salary is two thousand five hundred a month and my wife's is about one thousand eight hundred a month
A,And how much did you have to pay for your present five-room and how much have both of you paid so far
B,Our present house cost us one hundred and seven-three thousand and we have paid so far about eight-six thousand dollars
B,How much can my house fetch now
B,Is it somewhere three hundred and fifty thousand
A,Yeah
A,The market is about this amount
A,We have to call for valuation first
A,After which we can decide to advertise the amount we wish to sell
A,But before that we should look out for your new house first
A,In this way you can be assured of sufficient time to renovate your new place to move in just in time for you to hand the keys of your five-room flat to the new owner
A,All the process will take four months approximately but I will need a total of six months to look for a house for you as well as marketing your five-room
A,As for commission we charge a one per cent commission for helping you to buy a flat and two per cent for selling your flat
A,If you agree on the terms spelt out can you please sign us an exclusive for marketing your house
A,What do you think Mr Bek
B,I think that is fine with me
B,What do you need
B,My IC
A,Yes
A,Thank you </I>
C,Okay Ming Chuan
C,Lim Ming Chuan still under medical leave
C,<unclear> word </unclear> Last time ago medical leave ah <unclear> word </unclear>
C,He went for a major operation <unclear> word </unclear>
C,And the rest I don't know lah <unclear> word </unclear>
C,Okay anyway ah before I go ahead I'll introduce our <unclear> word </unclear> October <unclear> word </unclear> and the balance
C,<unclear> word </unclear> Okay
C,Okay then I'll go through ah Matter Arising
C,Any matter arising to raise up
C,Any amendment
C,Ah sorry before I go ahead any amendment
D,Whose report
C,Okay you just go through
C,If anything or currently any amendment you just correct lah
C,<unclear> word </unclear> Okay Matter Arising <unclear> word </unclear>
C,Okay then I go through Chairman's report
C,Okay 4 1 P A Y invited a member to join the monthly competition <unclear> word </unclear> representing our <unclear> word </unclear>
C,OKAY 4 2 <unclear> word </unclear>
C,4 3 Cheng San YE co-conducting a leadership course starting on 11th of June every Thursday from 7:45
C,Okay every Thursday from 7:45 am to 1:45 pm
C,Okay anyone go for this uh leadership course
C,Started last last Thursday <unclear> word </unclear>
C,4 4 <unclear> word </unclear> Okay any further details
C,Okay 4 5
C,There will be a <unclear> word </unclear> Okay remember this ah
C,Okay I need all you members to support this event ah
C,At the same time the advisor will be here
C,4 6 Okay this one ah what a type of radio call
C,Last time was here ah
C,4 6 The collector Okay you want to know the results
C,Okay I said this ah you got a Chinese name
C,Li Sha and <unclear> word </unclear> I want to talk to you you tow ah
C,Oh for the donation card the highest ah okay collected is myself ah 230 dollars and 50 cents *clapping*
C,And Li Sha is the second one 194 and 50 cents
C,Ellyn Dong is 180
C,Delsy Chan is 96
C,Jimmy Duan 51
C,Shirley Ho 30
C,Tan Ah Koon 30
C,Alan Goh 10
C,Okay you can see ah the total is 800
C,Getha is 2 dollars and 50 cents
C,Okay the total is 817 dollars and 50 cents 817 5
E,Ah up to one thousand
E,Last one ah always like that one
E,Always like that one
C,Okay the balance is 186 and 50 cents
E,200 lah overshot <unclear> word </unclear>
C,<unclear> word </unclear> never been <unclear> word </unclear>
C,They are not here
C,I can't see them
C,They are not here
C,I don't know why they have <unclear> word </unclear>
E,You didn't take any card
E,Lucky meh <unclear> word </unclear>
C,Next if any tuition <unclear> word </unclear>
C,Okay anyway I'd like to thank everybody spend their time to talk to someone <unclear> word </unclear> but I believe our <unclear> word </unclear> is very long ah better than WC <unclear> word </unclear>
C,Okay you are aware of this Tanjong Pagar CVC Family Sport Carnival this coming Sunday 21st of June
C,Okay Goh Chok Tong is a guest of honour
C,Then he will he will
E,To help out again ah
C,<unclear> word </unclear> Okay the venue is Clementi Clementi
C,The swimming complex there outside the swimming complex
C,Then those involved I'll call you uh tomorrow what time will be say seven <unclear> word </unclear>
C,Okay later I'll settle
C,Okay next one Telephone to be 9:30
E,Hui zhe-yang jin a <&>  mandarin)
E,Can't be so long ah <unclear> word </unclear> Mei-you zhe-yang jiu hao yi-xia-zi uh-yi
E,After 10:00 around 11:00 by that time should be there
E,Bu yong hen zao qu ma lei de yao-si
E,No need so early will be tired out
C,<unclear> word </unclear> One is at Alexandra CC another one at formerly <unclear> word </unclear> CC the <unclear> word </unclear> Bukit Merah West Neighbourhood Police Centre
C,Okay it's organised by Hawksan and they call Hawksan National Day Dinner 1998
C,I was accepted to sit as a committee member
C,And Ah Koon Tan Ah Koon our committee member also Ca Catherine Andy also
D,Ah <unclear> word </unclear>
C,This this national day dinner will be held on the first on the first of August
C,It's a Saturday
C,Okay our role is to get <unclear> word </unclear>
C,Okay our duty is uh they want us in charge of <unclear> word </unclear> with a stage there lah
C,That's it lah the decoration at the stage
C,I think at the stage
E,Decoration ah <unclear> word </unclear>
C,Okay the next one
C,Okay our multi- multi-media room
C,Okay we've already fixed a date on the twenty-eighth of June
C,Okay preparing for the open-house
C,Okay Alexandra Committee Computer Open-house from 10:30 to 4:00 pm
C,Okay we have invited the guest of honour Mr Chay Wan Jun performance by Lye San Soon addressed by some Chairman Tan Ah Koon addressed by Mr Chay Wan Jun presentation by CAL <unclear> word </unclear> end of the programme
C,Okay until 4:00 pm lah
C,Okay I need ah members to come down and support <unclear> word </unclear>
C,Okay another another one ah Tanjong Pagar CVC ah <unclear> word </unclear>
C,Okay they are going to organise a youth regional regional awareness camp
C,Okay on the 10 to 11th of October at <unclear> word </unclear>
C,Okay all the 15 youth groups involved ah they want us to send 8 members for this project 8 members
E,Members ah not committee members lah
C,Members
E,Members
E,Don't need
E,Members
E,Don't need not committee members
C,Okay another one will be Great and Great Win
C,Okay will be
C,The proposed date will be 12th of November 1998
C,So weekday lah but the committee has a
C,Because it falls on a weekday they scared they can't get helper lah
C,Then they want to change to weekend but they need to check with E and V E and V <unclear> word </unclear>
C,Okay once I got more confirmed date then I'll
C,The if it is okay then the 15 youth groups involved in this ah Great and Great Win
C,Okay
E,Sen-me zhe-ge wei-dao zhe-me jiu hai mei you zou
E,How come this smell lasts so long and still hasn't gone
C,That's all my report
C,Uh wait wait wait
C,Okay another one August <unclear> word </unclear>
X,
I,
F,This must write in Malay or English
G,Ah either either way
F,there is no specified right
G,No no no
H,In fact some of the vocations can be quite formal informal right
B,Yeah yeah
H,Ah we can mix like you know
G,My concern is I'd like to see this platform
G,This evening as a means to develop your trainer skill so that if you see yourself in the future as consultancy eh use this as a you know 90 per cent English and the remaining Malay lah
H,You can't help if you know a bit mixed up
G,Yeah lah but as my concern our our medium is rojak concept
G,But but what we don't know do is you know Malay and English in one statement together lah
G,That we don't do lah
H,So today how many are coming for meeting
G,I'm meeting for
H,<unclear> word </unclear> called whether he's coming or not
G,<unclear> word </unclear> Okay there's a lot of <unclear> word </unclear>
G,See like this another <unclear> word </unclear> just called want to conduct an enrichment programme for you
G,Primary 6 go to Sec 1 Sec 1 go to Sec 2
G,So there's now Sec 1 Sec 2 <unclear> word </unclear>
G,So basically it's one time <unclear> word </unclear> by the end of 1998 they are Sec 3 already
G,<unclear> word </unclear> yes
F,Sorry I have one question <unclear> word </unclear> except the modules and yet there are still every Sunday programmes
G,Yes <unclear> word </unclear> every Sunday morning starting from 8 o'clock
H,I have another question For this <unclear> word </unclear> right how many people per topic
G,About 30
H,No I mean presenter
B,Ah one each two thirty for two hours' fully commitment and two class
H,So you have two classes
H,Each class one presenter
G,<unclear> word </unclear> The commitment is four hours
H,So class A one presenter Class B one presenter
G,Because in <unclear> word </unclear> we rent two class two classroom
G,So that means normally ah when we engage our activity <unclear> word </unclear> that time is one girl one guy lah
H,It doesn't have to be that way
G,Yeah lah you don't have to be the way
H,Is this monthly or weekly
G,June July August September consultancy service
G,So they want us commit on the particular month ah
H,But at the moment you don't have the date yet
B,Ah the date is up to us
B,I take it as one month one class
B,That means one person takes one
H,When shall we start
G,The earliest in June
G,Any Sunday in June
G,any Sunday in July
G,Any Sunday in August
G,Any Sunday in September
G,Any Sunday in November <X>
