speaker,speech
,
A,Your name is Doctor Baratham
A,Is that correct
B,That's correct
A,B A R A T H A M
B,That's correct
A,You are a neurosurgeon by profession
B,"That's correct, my Lord"
A,Can you tell the Court some time in nineteen eighty-one which hospital were you attached
B,I was attached to Tan Tock Seng General Hospital my Lord
A,Perhaps you will tell the Court for how long a period were you with Tan Tock Seng
B,I was with Tan Tock Seng Hospital neuro surgical department from the time the department was opened in nineteen seventy-three
A,Until
B,Until I left the government service in nineteen eighty-seven
A,When did you first started practice
B,I started practice as a doctor in nineteen sixty and started training in neuro surgery in nineteen sixty-five
A,Can you tell the Court briefly what do a neurosurgeon treats
A,What type of sickness or injuries
B,We treat haemorrhages tumours and especially injuries affecting the brain
A,Do you know of another branch of doctor known as neurologist
B,Yes my Lord
B,I know
A,What do a neurologist does
B,They treat non-surgical conditions of the nervous system
A,Non-surgical
B,Non-surgical
A,In other words they will not operate or treat head injury
B,They will not be
B,They will not treat head injuries
B,No
A,Very well
A,Doctor can I show you three medical reports here written by you
A,Your honour may that be admitted and marked your Honour
A,His three medical reports on the bundle of page one two and three
A,Page two
A,Ya
A,Yhe three medical report
A,All three marked as page three
A,All three by the same doctor Sir
A,All of them page two
A,All right
A,May I refer you to the first report which is the one dated eighteen of May
A,No sorry twenty-seventh of July nineteen eighty-one
A,Twenty-seventh of July nineteen eighty-one that is page two
A,Can you read the statement read your report to the Court
B,This patient was admitted on the twenty-seventh April nineteen eighty-one following a road traffic accident
B,Special x rays did not show hemorrhage inside the brain but he was thought to have suffered a bruising of the brain
B,The medical term for that is contusion
B,Since then he has been followed up as an outpatient
B,A final assessment can only be made after a year
A,I see
A,So you confirm doctor that you examined this patient and you found that there is a bruising on his brain
A,Is that correct
B,That is correct my Lord
A,Now how severe was this injury
B,It was sufficient to cause changes on the C T scan which were of a temporary nature
B,But not sufficient to cause bleeding inside the brain my Lord
A,Now may I refer you to the second report which you made on the eighteenth of May eighty-two
