speaker,speech
,<I>
A,Good evening
A,The People's Action Party led by Mr Goh Chok Tong who assumed premiership just ten years ago was returned to power when nominations closed at twelve thirty p.m. today
A,It's the ninth successive victory for the PAP in the general election
A,Our special report tonight give detail gives details of the walkovers and fights in the constituencies the major statements of party leaders at their press conferences and finally an analysis of the issues by three political commentators
A,No one could have expected the general election so soon in fact the opposition calls it the snappiest of snap election but Mr Goh says he wants an endorsement now for his style of government and his program
A,He says he is the issue and the ground is sweet
A,Well who will be contesting who has already won what's the score like at the end of Nomination Day
B,The PAP has a lot to cheer about its Mr Goh Chok Tong's first general election as Prime Minister and he says this is <unclear> word </unclear> number of candidates since 1980
B,By the time the nominations closed at noon today the PAP has fielded eighty-one candidates and the opposition parties thirty-eight
B,Seven independents will also be vying for a seat in the new parliament making a total of one hundred and twenty-six this election
B,Of the five opposition parties in the red this year the Singapore Democratic Party has nine candidates the Workers' Party thirteen the National Solidarity Party eight the Singapore Malay National Organisation or PKMS four and the Singapore Justice Party four
B,The total number of opposition candidates this election is forty-five down from seventy-five in 1988 and fifty-one in 1984
B,This turn of events has given the PAP a large number of walkovers forty-one
B,In terms of wards ten out of the fifteen GRCs and one out of the twenty-one single seats have been captured by the ruling party even before the hustling have begun
B,In other words almost fifty percent of the registered voters do not have to go to the polls
B,As pre-nomination speculation had predicted the opposition parties have avoided putting up a strong challenge in the GRCs
B,With the new requirement for four candidates in each GRC one of whom must be a member of a minority group it looks like the opposition has decided they'll have better chances in the single member wards instead
B,Twelve ministers were returned unopposed they include Senior Minister Lee Kuan Yew
B,For the first time he's running with three other candidates in the expanded Tanjong Pagar GRC
B,Deputy Prime Minister Ong Teng Cheong also had a walkover in Toa Payoh GRC
C,We're disappointed I'm sure all our supporters here are disappointed we're all ready for a fight for a contest
A,Yes Ang Mo Kio GRC has now gone to the People's Action Party and the hundreds of supporters here are just screaming over with excitement
A,BG Lee who picked up one of the highest votes in the last election is positively elated
A,I'm going to try to break through the crowd to get a response from him
D,I'm in a midst of uh disappointment
D,We have hope for contest but election is not over and we're fighting all of the seats
B,The PAP supporters have been going absolutely wild for the past few minutes the reason the newly formed Kampong Glam GRC has gone uncontested
