speaker,speech
,<I>
A,Ya so you're saying about the D and D how
A,What's your response
B,According to Michelle uhm about eight eight tables
B,Uh you know Kee Min or Michelle
A,Ha
A,They manage to get so many
B,Ya not not too bad
A,Oh
B,And then uh they were saying that uhm only the Comp Centre staff will get prizes the lucky draw <unclear> word </unclear>
A,Oh again
B,the rest all won't be getting
B,So they say it's about half so that means they bought about twen twenty plus
A,Twenty plus prize
A,Uh so about fifty percent chance uh
B,Yes
A,Whoa not bad not bad nuh
B,Uhm
A,But I don't know what's the prize like
B,Uhm first prize is a mini compo
A,Mini compo ah
A,That usually costs about
B,Three hundred plus
A,Three hundred plus uh
B,Uhm
A,Whoa not bad nuh
A,A much much much more than what
A,What we have for the first prize last time
B,Ya because this year the subsidy has gone up from two to four dollars
A,Oh yeh ya two to four dollars
B,Ya very good uh
A,No what twenty four dollars what
B,Ya times two
B,This year they double it up
A,Oh so this year is forty eight
A,Oh
B,Uhm
A,Then the what leh
A,What is that
A,Uh the second prize is what
B,Don't know uh second prize
B,Not not interesting second
A,There're twen there're twenty over prize
A,Is starting from one to twenty
B,Ah
A,How about table table games and <unclear> word </unclear> prize like this
B,Uhm <unclear> word </unclear>
A,I heard DBC is coming you know
B,DBC
B,Coming here
A,No coming for our D and D
B,Oh
A,Maybe he's the guest-of-honour
B,Ah
A,That's why he's the guest-of-honour
A,That's why everybody say must be there at least before seven thirty
B,Mr Huang something or Dr Huang uh
A,Oh Dr Huang
B,Uhm
A,I think so
B,That's why I was I was trying to ask Michelle who was the guest-of-honour who is going to be
B,Then aiyah forgot
A,Oh I see
A,I heard I heard from Bee Guan
A,Then uh
B,But you are going right
A,Uhm ya because I <unclear> word </unclear>
A,Bee Guan whether the AD and the Director whether they're forming a table
B,Ah
A,So she say 'oh maybe because the DBC is coming and then some other people are coming also'
A,So that's why the management side is okay lah
A,No problem
A,So maybe the <unclear> word </unclear>
A,In that case <unclear> word </unclear>
B,But Ravi is not going
A,Ravi is not going uh
A,How come
B,Don't know
B,That's what I heard
B,I was thinking whoa the whole group of them will be going
A,Uh
B,But it seems not
B,Then Kee Min keep on pestering me
A,Pestering you uh
B,Ya she said come uh very good fun
A,Actually you can go right
A,Because
B,Very difficult
A,Anyway your children are free also what
B,Ya but aiyah have to look after them
B,Then too too late already <unclear> word </unclear>
A,Maybe you bring one instead of two lah
A,Then the other one your uhm can look after
B,Then after that you still have to rush back
A,Or
B,No point
A,Then that that night don't bring him lor
A,Cannot nuh
B,I find it's very bad
A,It's okay lah
A,It's once in a while
B,Aiyah don't know lah
B,Sometimes those relative wedding dinner
A,Uhm
B,After that I've to rush all the way there
A,Oh rush back to fetch them
B,Ya
A,Uhm
B,So tomorrow let me know
B,Not tomorrow Monday
B,Let me know what prize you got lah
A,Aiyoh I don't know whether my I always not been so-called lucky
B,Maybe Dr Teo will be very lucky
A,Yes
B,He's bringing his two kids you know
A,Is it
B,Ya
A,Two kids
A,Oh his daughter and son
B,I I I think so
B,'A' but <unclear> word </unclear> daughter-in-law should be three
A,No what his son is not in Singapore
B,Oh
A,He's in overseas
B,Then who who is that two
A,He got another son and daughter lor
B,Oh is it
A,Ya
B,Oh he has three uh
A,Three three children altogether
B,<unclear> word </unclear> I thought it's two
A,No
A,Then Mrs Tan is likely bringing her daughter
B,Daughter
A,I heard Mrs Wong wanted to bring her three daughters three three children
B,Whoa that's good
B,You know how much they are paid
B,Three hundred
A,Ha
A,So expensive uh
A,Three hundred for what
A,Per couple uh
B,Don't know uh
B,I think three hundred lah
B,Uhm doesn't matter how many you bring
A,Oh
B,For Dr Teo lah
A,Oh doesn't matter
A,So no wonder they're bringing so many
B,Their children nah
A,Three hundred
B,For Whoa three hundred quite a lot you know
A,Previously was how much uh
A,Previously looks like two hundred and forty uh
B,But for two is it
A,Two <unclear> word </unclear>
B,Whoa that means this round is the previous round was more expensive
A,Ya lah
A,If you are you count by the number of people
B,That means they're it's actually hundred and twenty ya
A,Then this who leh
A,Uhm Mrs Lim they all leh
B,Don't know <unclear> word </unclear>
A,Oh
B,Because at the time when I asked Kee Min he was not sure
A,Ya Amys are paying sixty right
B,Bee Guan also paying sixty
A,<unclear> word </unclear> because they're they count by their <unclear> word </unclear>
B,So Eileen going uh
A,Eileen no lah
B,Aiyah that means you and then Chay Hoon Susan
A,Ya lor eight of us
A,Then just now I told Bee Guan that uh Eileen is not going so she asked <unclear> word </unclear> to have this Chee Wha lor to join us
B,<unclear> word </unclear> asked her husband you know
A,<unclear> word </unclear> she it seems that she's not coming with us
B,Do you see Yen Jing nowadays
A,Once in a while
B,Very slim
A,Ya lor slimmed down already
B,Uhm
A,So fast uh
B,Actually that time she called up Chin Hwa during her maternity leave
B,She told me say whoa the baby uh make her lost five kg I think
A,After delivery
B,Uh because they say cannot switch on air-con so have to sleep without air-con
B,I think it's so warm that period
A,Oh
B,She said she actually literally lost five kg
A,You mean at home cannot sleep with air-con one meh
B,They say if the baby <unclear> word </unclear>
A,Too young is it
B,Ya not good
A,So who is looking after the baby now
B,That time I asked her it's the husband
A,Oh dear
A,Her husband cannot look on forever right
B,Don't know
B,Ya her husband needs to work <unclear> word </unclear>
A,Maybe they employ a part-time maid
B,Don't know
B,Okay must her to bring the daughter
A,A I saw
A,I thought Chai Hoon wanted to bring his son today right
A,Something like that
B,Jerry Jerry Chong
A,Jeremy
B,Jeremy is it
B,But he was saying too young
A,Too young uh
B,He said oh are are you bringing your son to the party
B,Then he said no too young
A,Too young uh
B,Uhm
A,So his wife are going
B,I don't think so
B,The wife have to look after the kid
A,Oh
B,Did you go to the staff lounge
A,No what do they have
B,They have those Indians' hat
A,Ya I I know they are very busy with the D and D now
B,About six I think there're six six or eight nuh
A,Six hats
B,Maybe for the welfare com
A,Welfare
B,committee or what
A,Oh
B,Uhm
A,I don't know whether they they
A,I don't think they have any performance right
B,Don't know
B,Not not too sure
A,Uhm uhm
B,I wonder who will get first prize
A,Ya lor Last the last time Sandra got it
B,Sandra uh
A,Uhm Ha no no no <unclear> word </unclear>
B,What <unclear> word </unclear> was what
B,Also a mini compo
A,No lah
A,That time was very cheap
A,Ya I think uhm it's a
B,Is it mini compo
A,It's not a mini compo
A,Mini compo is usually those with CD player right
B,Ya those those small <unclear> word </unclear>
B,Not carry compo I think
A,Cos I think it's a bit <unclear> word </unclear> carry compo
B,Oh those kind <unclear> word </unclear>
A,But that one I think it it's not doesn't cost as much as three hundred plus
A,Maybe the most is hundred plus <unclear> word </unclear>
B,Whoa this year the first prize very good
A,Ya
A,But it seems that they can get cheaper electrical goods right
B,Ya from Jeremy's friend
A,Oh oh that one is his friend nuh
B,Ah
B,A lot of gifts idea
B,So next time if you want to give get any gift ask him
A,<unclear> word </unclear>
B,Then ah
B,His friend shop is at I think Macpherson uh
A,Oh
B,Uhm
A,But then if you if you go without his recommendation you won't get the discount also
B,No but but maybe ask him to call up his friend say who and who you see
A,Oh
B,Or mention his name
A,Then the friend always gives discounts then he said do all the losing business
B,Not really what
B,Maybe the only thing profit that he earn a bit less
A,Ah
B,Uhm
A,I see
B,Don't know
B,Haven't been there
B,You know yesterday night I went to this NTUC club
A,That the karaoke lounge
B,Aiyoh karaoke lounge full house
B,Aiyah yesterday night
A,Ha
A,So cannot go in uh
B,Cannot
A,Oh full house they will cut people off uh
B,uhm they will display that tag that say full house
A,Yesterday is Friday
B,Uhm
A,Oh ya Friday usually <unclear> word </unclear>
B,Ya but I I saw this uhm mini suite nuh
A,Uh oh
B,Uh quite quite quite cosy if if you want you can actually book
B,They have bigger suite where they have your own private room uh where where they call its private room
B,So they have a few
B,Then the glass is transparent
B,You can actually see the number of people inside the room
A,Oh
A,But the suite is just sofa lah
B,Ah
A,For singing one nuh
B,Ya plus I think TV sets and so on uh
A,Do you do they serve drinks too
B,Ya
A,How much is it
B,Don't know because last night we can't gain entry so we said forget it
A,Oh so you go all the way there and then you all didn't
B,No we went there
B,Aiyah beginning uh we went there so fed up this security guard
A,Why
B,My husband went in first because he got the membership so he walked ahead of me
B,So I came in this security guard approached me say do I have card
B,I say 'no'
B,I said he's bringing me
B,Then he mumbled mumbled mumbled
B,So my husband asked me 'what is he mumbling about
B,What is wrong '
B,Then we pay up uh
B,That night was five dollars I think for weekends Friday to Sunday
A,For what
B,is five dollars
B,For guests
B,Those without a membership card
A,For the karaoke is it
B,No no no just to enter
A,for <unclear> word </unclear>
B,ya then you can go anywhere that you want
A,Oh
B,So we went <unclear> word </unclear>
B,Then after that we went to the other side of the lounge to have our dinner the one where they have dancing floor
A,Oh then people go down and dance one nuh
B,After that we went to play jackpot
A,I see
B,A quite fun you know
B,So far I haven't played
A,How's the dinner there
B,Yesterday night was the curry fish I think curry fish plus rice or another one is the mee soto
A,Uhm uhm
B,Then the other side the striker lounge
B,Uh the lounge where they have the karaoke and so on
A,Ah
B,they have I think barbecue chicken wing
B,Uh that one is nice
B,Formerly was very nice
B,Now not too sure
A,Oh
A,How come your your husband is a member
B,Ya he is leh
B,It's it's his company
A,Oh his company
B,Ah
A,Only member can go in right
B,Ya after after five I think
B,If you want to go in earlier then usually they ask you what what what do you want
B,Then on top they have this I think dental clinic
A,Oh
B,for those NTUC Fairprice subsidised dental care
A,So you didn't go in with you didn't with your children uh
A,Yesterday it's only two of you uh
B,Ya normally Friday and Monday we'll be on our own
B,So we went <unclear> word </unclear> pot <X>
B,I played until ten plus uh but managed to win but didn't want to quit So we just continue to played <unclear> word </unclear>
A,So in the end lose
B,In the end lost about ten plus uh My husband worse uh forty uh
A,Whoa
B,But he gained nine between but he didn't want to give up just keep on playing
A,'A' one day we can go karaoke leh
B,Ah you want
A,<unclear> word </unclear> a few of us ya If you you get more people lah let's say
B,Then you can book the room
