speaker,speech
,
A,Actually the the only thing that we have uh I mean the don't know lah I mean my school we we we we always thought that the that the headquarters didn't like us
B,Why
A,There is some kind of conception or misconception or some sort lah
B,Really
A,I mean because we we we won a lot of competitions
B,True
A,Ya the fact I mean my my school like swept a lot of prizes you see so uh uh it was like oh well I mean you've won so many why don't you give other schools a chance you know
A,Oh hi Lyn
B,Hi
A,You want to me in this
B,We are still talking
B,If you want to join in and take over from me then I can make my move
B,Are you sure
B,That is about another twenty more minutes to go
B,It's just talking to us I mean
A,Making conversation
A,Okay all right
A,Ya so so ya I mean I they they they they thought that that we won a little too many lah so ya but there was well I always thought Red Cross should stand for uh the first aid sign lah
A,So actually when when I don't know I uhm when when my my school did better in foot drill I I did question the the rationale
A,Look you know what I mean
A,This you are you're you're supposed surely ought to be better in first aid
A,What I mean isn't what the Red cross is all about
A,Ya so I guess the people were not very happy because obviously you know the foot drill was such a big thing in the Red Cross as well
B,Well I think they view in terms of like like all uniform-groups
B,One of the obvious reason or objective is to have discipline
A,That's true
B,So if you don't have discipline then you can't do a lot of things
A,That's true that's true
B,So I that is the reason why I I was actually put in charge of the drills
A,All right
B,Discipline is very important
A,Right
A,I remember I was in charge of a pla platoon and uh they were all juniors of course
A,I was senior at that time you see and uh they actually uh could not do a drill well
A,You know the timing is important and all that so uh there was one particular drill where actually which the they form and the was not up to par and I I I while I make a big hoo ha out of it and then they cried after that
A,It was quite quite uh uh quite dramatic in a sense but I think I was trying to stress to them the importance of it
A,Teamwork very important because we are training for competition formation where you have to be very precise and you have to cooperate with each other
A,So if you don't cooperate then there is not uniformity at all so that that was uh one of things I remember when I was in school that time
A,So I guess you didn't really like much drills and all that
A,No actually uh for foot drill I did quite well
A,Ya I think I did quite well at foot drill
A,I enjoyed uhm ya the formations and all that lah
A,I mean it was like quite fun lah you know but there is a lot of hard work lah and I think that because of because of so much drill actually uhm you know physiologically my legs like grew a lot more than my arms
B,Longer
A,Not not longer but I think the the leg muscles are a lot better develop or my leg muscles are a lot better develop than than muscles elsewhere on my body you see
A,Ya so my father said that if you don't do push ups you look like a kangaroo
A,Ya anyway I I actually join the Red Cross because uh I I was hoping to to practice uh to go into medical practice
B,Oh I see
A,Ya so it was like you know look you know there there is some kind of connections so why don't I just use it like a trump card lah so to speak
