speaker,speech
,
A,His name is Ken
B,Oh Ken what
A,Ya like I don't think it's Ken Tong
B,Oh whoever <unclear> word </unclear> will say Ken Tong
B,Ya lah
A,Ah don't be silly uh
A,Ya anyway so he was like talking about work and all and he was not doing his work
A,He was reading up books on Japan
B,Oh
A,So I was like ah even I can tell that you're not doing work
B,But he's nice lah
A,Uhm ya lah he looks quite okay
B,He's Marianne's colleague uh
A,Uhm uhm ya don't know in what capacity
A,I think we must really ask Marianne <unclear> word </unclear>
B,Oh oh ya
B,What's she doing uh
B,Her her job sounds like fun you know
B,Research uh
A,Oh uhm actually she's I think like secretarial or administrative support to
B,To
A,Her boss lah
A,Ya
B,What what's what what is it doing
B,Are they a research group or what
A,Uhm oh Andersen Consulting does uh these you see they have clients
B,Uhm uhm
A,and the clients ask them to do computer packages for them or
B,Uhm
A,training sessions and stuff like that
B,Uhm uhm uhm uhm
A,So they have to present proposals and all lah
A,So he will I think provides uhm support lah
A,Administrative support
B,Uhm uhm uhm
A,Ya like uh maybe when they need certain things then she like when they need you know information on stuff like this she'll come down and get it
B,Oh so fun
A,So ya so the main actually the main bulk of the work is done by con the consultants
B,Oh
A,<unclear> word </unclear> consultants they pay them quite a lot so I I hope will will get to be one lah
B,Ya I hope I hope
A,Ya so actually ya so she said see how lah
A,So consultants are the ones who actually do up the proposal you see
B,Uhm
A,and you know get the information and write up the stuff
A,So I think for her she just you know provides support lah
B,So she does the running about and gathering the information lah
A,Uhm I don't know about the running about
A,This is the first time I've heard her coming here to get information ya
B,Ah
A,I think probably the consultants have to do it themselves
B,Uh eh so fun uh
B,I hope one day she become a consultant
A,Ya I hope so too
A,Anyway ya it sounds pretty interesting
A,Why don't you go into that too
B,Ya I can do research
B,But then how
B,Uh maybe they want things like accounting and and management
A,No I don't think so
A,They take in they they take in BA people as well
B,How Lang Lang Lang also
A,Ya I think so ya
B,Eh then maybe I can ask her
A,Ya ya ask
B,If there's vacancy
A,and you know just write in your resume and then or or
B,If there's vacancy suh
A,<unclear> word </unclear> itself
A,Ya and then ask them lor
B,Uhm uhm uhm
A,I think should be quite fun uh
B,Ya should should be quite fun
A,and they pay quite well
A,So and that's only for an ordinary degree
A,So if you've got a masters I think that will be worth something
B,Ya maybe maybe I could
A,<unclear> word </unclear>
B,So so how did you go to the you're going to the cash-on-line right
A,Oh no I didn't go ya
B,I thought you
A,I forgot all about it because she didn't bring her tickets what
B,Oh yes
B,Yes
A,So do you want to go or not
A,You don't want to go Phantom of the Opera
B,No lah
B,I I really want to go but you know I <unclear> word </unclear>
A,That's no problem
B,Not liquid at all lah
A,<O> laughs </O>
B,Totally not liquid lah
A,I'm so sorry
B,Aiyah eh I'm so sorry you know
B,We forgot to ask my sister
A,About what
B,About the ribbon
A,The ribbon
A,Oh no it's okay
A,Anyway we met Marianne so that's okay
B,Uhm
A,Ya I wanted to ask you also about your your sister whether
B,Ya
A,we spoke with her after she met Jokim and how she feels and stuff like that
B,Ya ya ya
B,So so okay she called me lah
A,Ah
B,and then she just like okay she she she she likes Jokim because she can talk to Jokim and everything lah
A,Uhm
B,Then I said like so how's how how do how do you like the hairstyling you know
B,Very good
A,Uhm
B,She's very impressed but then I think like make-up she was like I don't know what she was looking for lah but actually like I mean what do you expect
B,Like miracles uh
B,I mean what do you expect
B,Like like those tsk you know those artists uh those Paris make-up artists uh
B,Like super-models uh
A,Ya those models uh ya
A,Ya I well I don't think the the photos do a lot of justice to the make-up lah but
B,Uhm
A,I think it's also very important to remember who who the models are you see I mean because they are like normal you know
B,Ordinary people
A,Ya ordinary people
A,You see so it's not like I mean not exactly like your Ah Lian Ah Hui that sort lah but you know
B,Ya but
B,Ya
A,Ya so and sometimes you can't expect miracles really
A,I mean of course you want to look good you know but uhm ya and then some of these people may not be photogenic
B,Ya that's right
A,You know so it doesn't come off
B,And you you don't have all those touch-ups and photography
A,Ya
A,Ah tell your sis if she wants uh
B,Ya
A,she can come over to my place
B,Uhm
A,and have a look at my Dayspring album
B,Ya ya ya okay
A,Ah because uh then you know to see if she wants before if she wants uh that sort of photographs before she signs up lah otherwise
B,Uhm uhm uhm
A,you know if it's not to her expectation then you know seven hundred and ninety dollars is a lot of money to spend for that
B,Ya
A,Then she can also see the make-up
A,I I really like Dayspring's uhm make-up artist did really
B,Catherine
A,uhm no no that one is uh Lancome
A,That one is separate
A,That one I got for the day
B,Orh
A,But uh the studio one because mine was a whole package and nuh it was together with studio make-up as well
B,Eh uh uh uh
A,So the lady did it very nicely
A,I was like whoa can't even recognise myself
B,Uhm
A,Ya
B,Ya I saw I saw
A,<unclear> word </unclear> turned out
A,I think the photos turned out quite quite good lah
B,Ya ya
A,So uhm ya if she wants to you can ask her lah <unclear> word </unclear>
B,In fact I think I think your photos you look very good in your photographs
A,Ya I mean in the studio photo I take uh
A,Huh
B,Yes yes yes yes
A,Not like myself like that
A,So like whoa okay
B,Ya enhanced lah enhanced lah
A,Remember <unclear> word </unclear>
A,Ya but Hans oh oh enhanced
B,Enhanced
B,Hans like ya Hans
A,Like goldfish eyes
A,He can't get over it
A,So like so sad because he's really the photogenic one you know
A,I'm the one who's not
A,So I say oh you got no problem lah you know
A,So when the photos turned out it's like why am I like staring like that
A,So I've to find excuses you know
A,No lah maybe sleepy that day no maybe headache lah
B,Maybe he should have looked into a flower <unclear> word </unclear> looking
A,Ya he's <unclear> word </unclear> disappointed but I mean I still think he looks good
B,Ya
A,Because he's really very photogenic
A,When you take him un unawares uh
B,Ya
A,He comes out very nicely
B,Uhm uhm
A,for some reason or other
B,Ya
A,That's why I told you lah when I pin up his hair
A,Quite good
B,Some some people it it's it's like this you know whether the camera likes you or not
A,ya
B,Ya
A,Some it's like turns out really good and also I think it depends on the photographer's skill and the kind of background
B,Uhm
A,Like uhm there was once I I wore this red dress
B,Uhm uhm uhm uhm
A,to go to this friend's wedding so she took photographer like
B,Uhm
A,I looked normal lah you know goggy
B,Uhm
A,And all that When I went to take then the same day that afternoon
B,Uhm uhm
A,I went to take uhm a passport photograph and uhm my IC photo <unclear> word </unclear>
B,Ya ya oh ya you're telling me
B,Very nice
A,Ya then like ya quite good
A,So I thought ya I suppose it depends on who's taking it as well as
B,Ya
A,The kind of uhm background that you have then
A,Ya lah a lot of factors
B,Ya
A,whether it's outside indoors or outdoors so all that Burn must bear in mind lah
B,Ya
A,I mean she can look really wonderful for studio and she may look really wonderful on that day but the photos may not turn out that well you see
B,Ya I think so you know
B,That's true
A,Ya so just tell her to be realistic and wake up you know
B,Ya lah that that's it like she must she must do her research all lah
A,Ya
B,I guess she's a
A,Because she's not so too keen on on Jokim
