speaker,speech
,
A,Okay okay
A,I think we'll start unconsciously okay
A,What I'm trying to say is that do you know that
B,Ha
A,Do you know I've got this SCBA thing you know
B,This this is to inform
A,Ya saying about this uhm SCBA on June
B,You're applying for it
B,Uh you're applying for it
A,I've already got it and guess what's the date
A,June the sixteen my birthday
A,What luck!
B,Just nice lor
B,They can celebrate your birthday there what
A,Please lah I mean
B,Isn't it
A,I can't even celebrate my birthday properly you know in this case
A,<O> interruption from a lady colleague </O>
B,No I didn't I didn't I didn't switch it on
B,No I didn't switch it off
B,I've not been touching it for a long time
B,Okay
A,Ya and do you know there's a eight
A,It's they give you eight minutes to present my slides
B,I thought yours is a poster
A,It's not
A,Slide presentation you still must do
A,Isn't it
A,Right
B,Ya ya ya I think so
B,That means yours will be a a talk lah
A,Oh that's why I say I'm so anxious
A,Eight minutes you know
B,Right
B,I thought it's a I thought it's submitting a poster you know
B,'A' never mind what
B,That time I when I do my final year uh
A,Ya ya ya ya
B,presentation it's also my birthday you know
A,and then
B,Just give lah you know what to do
A,Uhm LT 25 you know
B,I see
A,Big LT you know
B,Whoa this one is this' a very big one uh about six hundred people you know
A,No no no no That's at LT 27
A,This is about three hundred four hundred
A,You know where's LT 27
B,Uhm uhm uhm
A,LT 25 is a medium <unclear> word </unclear> so
B,That's a great experience for you
A,Huh
B,Great experience for you
A,What great experience
A,I don't want it
B,before you start you can announce what Ladies and gentlemen
A,Today is my birthday
B,Today is my birthday
B,Can you please observe five minutes' silence
A,I'm frightened
A,Please don't ask me too tough questions
B,Ya
A,But it's quite bad you know
A,Don't you think so
B,See how
B,Surprised
B,I thought it's just a poster
B,So you don't have to make poster lah for your case
A,But I have to make
B,slides uh
A,Ya look
B,that means slide presentation sor
A,I've to make slides
B,But
A,'A'
B,You got some experience or not you got some experience or not
A,Making slides 'A'
B,That time you have already what
B,Those slides that you have
A,Ya but they're totally different
A,This time you have to make slides for for gels stuff like that
B,with the results and so on
B,I think there's a lot of work involved uh
A,Ya
A,But can I make it less than eight minutes uh
A,But even now I say down here at eight minutes
B,I think seven six minutes should be quite alright lah
A,Five minutes
B,Five minutes maybe too short you know
B,Five minutes is only about sixty percent of the time only
B,If seven eight minutes I think should be alright
B,Uh
B,No I think you definitely got more things to talk about isn't it
A,I don't want to talk too much because I've told you I've got <unclear> word </unclear> in August
B,You got slides and so on
B,You've got another one in August
A,I've got another one in August
A,So I don't want I don't want to talk too much because <unclear> word </unclear>
B,I thought that time you submitted a poster session
B,So you just put posters and then just stand around you know
A,The thing is I think they are the ones who decide
B,Oh they decide so
A,That is most
B,Ya lah
B,Good lah
B,Maybe they find that it's very interesting isn't
A,Please lah I am not
B,It's probably very new
B,So they are quite eager to find out more
A,I think it's because of Alan Potter
A,What do you think
B,Is he in the committee
A,What do you think
A,Uh it's IM it's organized by IMCB
B,Ya provided he's sitting in the committee uh
A,No he's not
A,I don't think so then
A,I don't think so
A,I ask I'll ask this who uh Keng Chong uh
A,First can we change ask him to change to posters
A,Seriously
B,Change it to poster uh
A,Ya what about that
B,Ya maybe you can try
A,You can try is it
B,You can try uh
A,I all along I assume it's a poster you know
B,Ya I thought it's a poster too
B,That's what you said isn't it
B,It's outside that LT down there the canteen there
A,Ya ya ya ya
B,And then just put your poster there and then just stand around lah
A,Ya ya ya ya ya <unclear> word </unclear>
B,And then ah ah
A,Ya
A,I'll ask Keng Chong about it uh
A,How's that
B,Uhm
A,Oh another thing
B,How about Keng Chong
B,Did he receive this already
A,He receive
A,I don't know I'm going to ask him then
B,Oh maybe his is a a poster or
A,So I can swop with him you mean
B,You can swop with him
B,Uh or if his is a talk then too bad lah you know
B,I think it maybe quite difficult you know because they already allocated the time everything for you already
B,So it's quite difficult for you to withdraw like that
A,Why aiyah stupid me lah
A,Then
B,But the good thing is a talk you just go there and then finish up the whole thing
B,Eight minutes you see
