speaker,speech
,
X,
A,Hi
B,Hello
A,Hello uhm what can I help you
B,Uhm I am actually browsing lah because I am uhm looking for some some toys to start my own collection
A,Oh
A,Okay we have many toys here
A,Okay so you got to decide what you are really interested in
B,Uhm I am more interested into Star Wars
A,Star Wars all right ah
A,You have picked a very very difficult collection to start with
B,Yes I know
A,But let me introduce myself first
A,My name is Tow Yi
B,Hello I am Christine
A,Christine all right okay
A,So what why are you interested in Star Wars
B,Star Wars probably I am because probably because of the uhm movies
A,Uhm
B,I am quite fascinated by the you know the costumes and stuff like that
A,Ah ya
A,I agree with you too
B,And the story line
B,Too bad it is quite ya very exciting
A,The things about good versus evil light versus dark
B,Ya ya ya ya
A,Ya it is fantastic
A,It is just very very good
A,Aren't you excited about the new movie coming out
B,Ya ya ya
A,Ya I heard that the date that it will be shown in Singapore is June the third
B,Ya I heard about it before
A,And the trailers are already running in some of the cinemas
A,And it is very very good
B,I have not seen it yet
A,Haven't seen it yet
A,You better you must check it out
A,It is very very good
B,I just heard it from my friends
B,And it is good you know
A,Ya ya you know what is the story about this this
A,A lot of people has been asking what is the story about
B,Uh not very sure
A,Actually you know about Star Wars right
B,Ya
A,Star Wars the trilogy is actually the forth part of the story that George Lucas thought of
A,So Empire Strikes Back is the fifth and Return of the Jedi is actually the sixth
A,Now he is going back to explain the story of how uhm uhm the dark the evil forces came about rebellion came about and how how a small little boy called Anakin Skywalker becomes Darth Vader
B,I see
B,Should be interesting
A,Ya very grand
A,Ya very grand
A,A lot of there is a lot a lot being written about it and uhm can't wait just can't wait
A,Now let us go into the toys
A,So so it is such a big collection to start with and Star Wars toys have been around for so many years vehicles figurines play sets and things like that
A,So uhm you have decide where to start with
A,You cannot start I don't think you want to buy everything because it would be a fortune
B,No I cannot afford so probably I would start uhm with the newer ones ha
A,The newer ones ha
B,Yes
A,But the newer ones uhm uhm actually it has been around for some time also
B,Yes I know
A,Ya it also cost quite a lot and because you started so late and a lot of the figures that you may want would be very very difficult to find
B,I will just get those by which you can find first and the rest I will think later
B,And depending on the price also
A,Oh yes
B,So how much are you selling yours
A,Uhm I always like new collectors to start their new collection and I always wish them to carry on because it is such uh uh to me it is a very nice hobby
A,I have been doing this for so many years
A,So I will give you a very reasonable price
A,Very reasonable believe me
A,You will Okay we will talk about the price later but let us not talk about that
A,Maybe we talk about the figures and things like that
A,So the thing about the figures is it is very small but somebody like to start with the dolls the twelve inch dolls
A,I have a few here I can show you like this is Princess Leia all white and things like that
B,No I think I prefer the smaller ones
A,The smaller ones ha
B,Yes which is more expensive
A,Ya
A,But maybe I suggest this
A,The thing to start with maybe a theme
B,A what
A,Start with a theme
A,Okay for some people it would be too much for them to start with
A,They like to start with a certain scenario like uhm uhm certain guys I know they like the bounty hunters a lot
A,They appear in you know in the Empire Strikes Back
B,If I am not wrong I think is Boba Fett
A,Boba Fett and uh a lot of other characters also Bousk and things like that
A,So what I suggest one way you can do is go about doing this is uhm you can actually get the bounty hunters first
A,Set that scene you know set your scene because that is your favourite scene
B,Ya ya
B,In fact I like them
A,Ya what else
A,I know some of the girls believe me girls also come to my shop to buy toys and things
A,Not for their husbands or their boy friends but for themselves
