speaker,speech
,<I>
A,That's why she's a Gospel singer
A,She's got that
B,And she sold her look you know
C,I like
A,Uhm ya and she's so gorgeous
C,Ya
B,Young
B,And then these these women would be checking her up talking to her finding out about her
A,Women
B,I think just casual conversation you see cos she's so young and they were so amazed
B,After she left then you know I just met this girl who was going to school you know all by herself
B,And there was this little girl on the greyhound too and she cried all the way
B,She cried the first part of the way
B,She's crying like mad because her mum put her on the bus to go with her father
B,Report her
A,Oh shit
B,Poor girl
A,How old is she
B,Eight maybe nine
A,Trauma
C,Ya
A,She I don't know
A,I was taking the bus Greyhound from uh Chicago to Indiana
B,Oh
A,What happened was I missed the the <unclear> word </unclear> was so funny cos I took about I thought it would just take an hour for me to get from where I was in Chicago down downtown you see to the bus station
A,Little did I know when I went it was rush hour
B,Oh God
A,I and the bus journey was like hell
A,So by the time I got there I got to the tracks
A,I was like where's the train
A,And then there was a station master there and I said uhm where is the train that's bound for Indiana
A,Uhm Maam you see those tail lights over there
A,You're right
A,That's the one
A,Uh oh shit
A,So <unclear> word </unclear> greyhound and uhm this was during the time when the uhm the floods had just been over and everyone was talking about it
A,So I was seated right at the back and there were a couple of black guys and initially it was very I was like uh
A,Then then after all they started talking uhm you know
A,Uh what what is that they said
A,Uhm ya that's it
A,Had I been in Chicago earlier this uhm earlier this week I mean I would have gone downtown and caught me a carp
A,You you know what happened to the floods
A,You hear about the floods
B,Don't know
C,Ya ya they've
C,They flooded the building
B,Oh
A,The entire basement
A,See what happened was uhm these jokers while building the subway had driven a wall right down through uhm was it the city's foundations
A,I don't know
A,Anyway while they were building something they had driven a wall right down through a subway see
A,A really old wall and that has lasted for about a decade until now because of the I think the river was coming upstream or something
A,And then it just <unclear> word </unclear> the dam and all the basement stuff all I mean everything you know from <unclear> word </unclear> to the area everything was
C,Downtown Chicago right
C,All the basements were flooded
A,Millions and millions of bucks and it's like Chicago isn't exactly a rich city either
A,And uhm plus the riots and everything it just made things a lot worse
A,So ya ya it was just great because there was an oriental family with us and uhm you'll be amazed to find there are a lot of Blacks in America still think that there's a lot of I don't know
A,It's just amazing the amount of prejudice they have against the whites and the whites against them
A,Imaginary and real and and as when I told this friend that I made it to Indiana about what had happened on the bus he asked me how many orientals were there
A,And I said aside from me there were about five of us
A,Really
A,At two am in the morning
A,And I said ya and you know what was even more surprising
A,There was this black guy who offered to help the uhm well he was seated at the back and so one of the kids fell asleep you see
A,The mum wanted to move him up
A,He just picked up the kid and put him down you know it's like and he helped me put my bag up and everything and and so he said you know things are really changing now
A,I said oh really
C,Uhm
A,It it's just it's like the kind of stuff you read in books
A,Only thing that it's becoming real you know
A,You see it there
C,Uhm
B,Oh of course you're reading books from them
A,Ya I know
C,Ya
A,And and when I was in Chicago I went to universities a lot
A,There was a students' discussion I took part in but actually it was more an informal thing
A,Was at Jimmy's the students' bar
A,I went there
A,I was the only oriental there
A,The entire group ostracized me okay
B,Tsk habis man
B,Oh my God
B,Really
C,Uhm
A,They didn't even speak to me
A,They looked at me of course and then <unclear> word </unclear> me back with uhm you know that kind of thing and I was like okay I'll just sit and I'll listen to what you're saying
A,Oh really
A,After a while nobody was talking to me anymore
A,In fact nobody began to
A,There was some newcomer with me as well but she was uhm she looked more like them
B,Oh
A,So after a while I just got up and I said to my friend look I think I want to leave now and he was white
A,Then I went up I said what the hell was going on back there
B,Uhm uh
A,And for the next hour and a half there was a white-bashing session
B,Oh
C,Uhm
A,Uhm
B,They're sick
A,Yeah and I was really amazed
A,These were masters students
A,Very talented brilliant people who have travelled a lot very widely
C,Oh they must be from
B,Oh obviously they are not brilliant enough
C,They must be from no they must be from the upper classes
A,Probably
C,Upper middles lah anyway
A,Yeah
C,Brought up in a kind of environment which is only white you know
A,But you'd be finding the prejudice coming from the lower classes as well
A,They come from all classes
A,Then even upper upper middle people they can be very nice people
C,Uhm
A,I mean they had a lot of comments about my English and
C,Oh you speak very good English
B,Oh they are always amazed but then I guess someone told me
B,I I felt it was quite patronizing
A,Yes it was
B,But then someone told me wouldn't you react the same way if you see a white speaking Chinese
C,Ya that's true
B,And I thought ya
C,But it's just very funny when they speak to you slowly
A,Oh ya
C,And they have a look in the eye like saying are you getting what I'm saying
C,Are you getting what I'm saying
C,It's very funny
A,Oh ya
A,I had an experience here in Singapore
A,It's about there's this Australian chap first time in the Orient
A,I hate the word Orient
A,It's like
C,Something you described <unclear> word </unclear> first right
A,Ya
C,Uh that's right
B,Like Victorian times they call this place suh
A,Ya really ancient you know like we're totally
C,It's like it's like it's like we're still wearing Manchu clothes
A,And wearing trees <unclear> word </unclear>
A,You know when I called the operator
A,One which state in Singapore
A,Number two okay do they speak English back there
A,I mean it was like ah God
B,It's amazing how uhm we know so much about them and how little they know about us you see
A,Ya
B,It's cultural domination you know
A,And they think it's not important because we're just one little island back in the east
B,They don't even know we're an island
B,They don't know
C,They don't even know
B,Not many people down there over there
A,Uh
B,Know what Singapore where Singapore is
A,Oh ya I know
A,Every time I say where Singapore is I usually appendage it with one degree from the equator
A,Not in China
A,Miles from it and and then I confuse them with the Straits Chinese description
C,Uhm
B,And and I had these people
A,It's really quite amazing and and and it's like but the poor people at night <unclear> word </unclear>
A,I mean some of them I was called the fucking hit in uhm in those island
B,What
A,Ya I guess it's all part of the LA island experience
A,I got up the boat
A,I was on my way down and that this carrot-coloured punk
C,Uh uhm
B,Uh uh
A,Just started muttering
A,Hey hey
A,Fucking hit
C,Fascist racist you know
B,Ya man
A,Probably
A,Got style on his cheek
A,But that was the only experience I had with racism
A,That's why from the Harvard experience which you probably know of
A,Did I tell you about that
C,Ya what
A,The Harvard experience
C,Who was that
A,In Boston
A,I didn't tell you about that
A,It was probably Vivienne I told then
A,It was really quite bizarre
A,I want to take a picture of the reading room and compare it with the situation here
C,Uh uhm
B,Then
A,And apparently
C,Oh ya ya
A,I've taken a picture of this old man who was sitting there and studying
B,You should have asked permission
A,Uh well actually I didn't intend to take a picture of him
B,Oh
A,He was just part of the background foreground actually
A,So what happened was uh five minutes later he charged down the stairways and grabbed the camera just out of my hand like that
A,I was just talking to my friend I was holding the camera
A,He just pulled it out and all that what the hell
A,And he then he started to fiddle with it and everything
B,My God he's sick
B,He didn't even explain or anything
A,and I said we shouldn't have taken a picture
A,We shouldn't have taken a picture and I was thinking of uhm T S Elliot's <unclear> word </unclear> woman
A,And he was like he started fiddling but it was a manual thing so he couldn't fiddle anything with it
A,So friends of mine were there and they grabbed hold of him and then a tussle followed
