speaker,speech
,
A,Okay
A,Can we start now
B,Uhm
A,Thanks
B,Uhm
A,Okay so uh Lay Kuan
C,Uhm uhm
A,Meng Choo says
A,Uh Meng Meng Choo wanted me to to ask you when you might be free so that we can get together and have lunch
C,Uhm uhm
A,Uhm when when will will you be free actually
C,My good days are Wednesdays and Thursdays
A,Uhm uhm
C,Uh Wednesday
C,I finish at eleven and then I have nothing in the afternoon
A,Wow
C,Ya that's why I like Wednesdays and Thursdays
C,I have uh till one o'clock and then I have nothing after that
A,Nothing after that
C,Does she have a fixed lunch hour
A,Well uh she's flexible
A,uhm so
A,So the only hitch is that uhm she she would have to arrange for somebody to look after her son uh if she go out for lunch
C,Oh oh I see
A,So that's why we have to make arrangements beforehand
C,Oh I thought she always goes back for lunch
C,Does she
C,No
C,then I I
C,what do you mean by having to get someone to look after
C,It's as though she's back every time for lunch
A,Oh I don't know
A,I really don't know what her arrangements are like
C,Okay okay
A,Uh but in any case uh well it sounds like Thursday is a good time
C,Uhm uhm
A,because uhm
C,Thursday is good for you
A,It's good for me because I finish my lab class at twelve o'clock
C,Ah ah
A,and then I don't start again until two o'clock
C,Uhm uhm
A,so in between I have two hours so that would be a good time
C,Oh okay
C,Thursday
A,Meng Meng Choo was thinking whether we should go to the Guild House uhm for lunch
C,Which one
C,The the
A,The NUS Guild House
C,Ah ah
A,Uh what do you think
C,Okay Guild House is alright
C,Is she a member
A,I think she is
C,Because we can't go in unless
A,Unless we're members
C,Or rather we can't eat there unless one of them one of them is a member
A,I don't know if her membership has lapsed though but
C,some time back
A,Ya
C,I have another idea
C,It's also <unclear> word </unclear> good
C,It's also related to or associated with Guild House
A,Uhm uhm
C,Uhm it's at Adam Road
A,Okay
C,and just after or ya just after this Bible College
A,Uhm
C,there's a lane going to the left
A,Uhm
C,there's a slope up to this uh colonial-looking house
A,Right right Is there a restaurant
C,Ya and there's a restaurant up there
A,Oh I didn't know that
C,Ya it's very homely in that sense that it's it's those old fashioned house
C,The Chinese call it bukalau type of house you know
A,Uhm uhm
C,And it has uhm it's wood uh wooden type of uh flooring
A,Uhm
C,Irene Tan brought us there once
A,Uhm uhm
C,and and
A,Is it terribly expensive
C,No not at all
C,It's just slightly more expensive than let's say hawker place
C,Ya
A,What what sort of food do they serve there
C,But it's pleasant
C,A range uh local as well as western you know ya
A,Uhm local
C,you can order the dishes or you can order individual ones
A,Uhm oh okay
A,That's that's good
C,That's another place
C,Uh oh how did this come about actually
C,You went to
A,Oh I I just went to see Meng Choo about something else
C,Uhm uhm uhm
A,And then at the end she said oh I must we must have lunch together
C,Have lunch together ya
A,And she said then then she thought of you
C,Uhm uhm
A,and then she said oh must must ask Lay Kuan along
C,Uhm uhm orh
A,So I said okay ya
C,Okay ya
A,uh uh I'll check with Lay Kuan
C,Ya
A,and then get back to her and tell her when you might be free
C,Uhm uhm uhm You let me know which Thursday because then I can change I have this same class from ten to eleven and then twelve to one
A,Uhm
C,There's a one there's a an hour of lapse
A,Can change
A,Okay okay
C,So what I can do is uh push it down
A,Uhm uhm
C,Sometimes I continue if if they still feel up to it or if I prepare them for it we continue and then we don't have that hour from twelve to one
A,Uhm Oh ya
A,That's okay okay
A,I'll I'll
C,So both of us will finish at eleven then
A,This is what on nuh
A,This is on nuh
C,Thursday
C,Did you say Thursday <unclear> word </unclear>
A,Thursday
A,well I finish at twelve o'clock
C,Ah ah okay
A,So so
C,Ya can
C,If I shift my class then I'll finish at twelve o'clock
A,Oh would you
A,Okay okay then then we can go
C,Ya ya Thursday
A,Alright
A,I'll I'll ask Meng Choo but would that inconvenience you
C,Oh no not at all
C,And also uh probably one week or two later they're getting into tests the tests for interviews
A,Oh ya
C,Which means that we won't be having formal classes and I'll be testing some other classes so the time-table will be different then
A,I see
C,So Thursday is good
A,Okay okay then
A,Then we'll I will set it at Thursday tentatively
C,Do you do you teach the second and third years too
A,Well I I teach the second years
C,Uhm
A,Uh ELN2 OWC
C,Oh okay
A,Yap
C,So which means that in another one or two they are they are doing interviews too
A,No they're doing uh role-plays
C,No they're not
C,Ah okay because I in two or three weeks' time they'll be they'd have finished
A,They would have finished
C,How many hours <unclear> word </unclear>
A,What
A,The
C,The <unclear> word </unclear> the ELN2
A,Two hours a week
C,Two hours but just just one class
A,No I've got
A,let me see
A,Uh I've got three classes
C,Three classes <unclear> word </unclear>
A,Uhm uhm
A,So how do you find your students
C,Which group
A,Your your second and third years
C,The ah
A,Ya
C,The both are BM
A,Uhm uhm
C,Uh I like the second years very much
C,Probably because everything is organised and I I know the syllabus
A,Uhm uhm
C,Uh pretty well and so
A,Uhm
C,and and I think plus the fact or major factor is that they're very
A,Uhm
C,Uh co-operative
A,Uhm uhm
C,And diligent and they're fun at the same time such that when when we have light light things they they all uhm take part and they're very responsive
A,Uhm uhm
C,and when their actual work comes uh hard work
C,They they get down to work too
A,They get down to work
C,Ya so I enjoy that group very much
C,The third years
C,Uh for some reason or other I don't seem to enjoy the class very much uh
A,Which course is that
C,Both are BM
A,Oh don't I know
A,I understand because the the third year syllabus tend to be uhm a little bit more uh more fragmented I think because more fragmented than than the second years
C,Uhm uhm Uhm
C,Than the second years uh
A,Ya
A,Actually I quite enjoy teaching grammar
C,Uhm uhm uhm uhm
A,and that's why I enjoy teaching the first years <unclear> word </unclear> even thouh everybody find it such a drag you know
C,Uhm uhm
A,You know
C,Ya ya
A,But uhm actually I think it's it's quite a good course in that you you you get them to you know probably for the last time in their lives
C,Uhm uhm
A,They will have somebody to
C,They will have something to guide them
A,To guide them and tell them you know
C,Such a uh uh <unclear> word </unclear>
A,Stringent
A,Ya amendment
C,Ya
A,Because after that it's really free for all kind of thing so
C,Ya true and I think they need the basics
A,Ya
C,They all do
A,Ya
